region_nom,code_circonscription,nom_circonscription,nb_bureaux_vote,inscrits,votants,taux_participation,bulletins_nuls,suffrages_exprimes,bulletins_blancs_nombre,bulletins_blancs_pourcentage,parti_politique,nom_liste_candidat,score_voix,pourcentage_voix,est_elu,region_nom_norm,nom_circonscription_norm,nom_liste_candidat_norm,parti_politique_norm
IFFOU,113,"ANIANOU, FAMIENKRO, KOFFI-AMONKRO, NAFANA ET PRIKRO, COMMUNESETSOU~PREFECTURES",105,30711,15501,0.5047,406,15095,225,0.0149,RHDP,KOUASSI KOUASSI JEAN CLAUDE,7888,0.5226,True,iffou,"anianou, famienkro, koffi-amonkro, nafana et prikro, communesetsou~prefectures",kouassi kouassi jean claude,rhdp
INDENIE-DJUABLIN,114,"ABENGOUROU, COMMUNE",128,48575,11873,0.2444,206,11667,48,0.0040999999999999995,RHDP,BAH ABDOULAYE,5872,0.5033,True,indenie-djuablin,"abengourou, commune",bah abdoulaye,rhdp
INDENIE-DJUABLIN,114,"ABENGOUROU, COMMUNE",128,48575,11873,0.2444,206,11667,48,0.0040999999999999995,PDCI-RDA,BREDOU BREDOU ATHANASE,3626,0.31079999999999997,False,indenie-djuablin,"abengourou, commune",bredou bredou athanase,pdci-rda
INDENIE-DJUABLIN,114,"ABENGOUROU, COMMUNE",128,48575,11873,0.2444,206,11667,48,0.0040999999999999995,INDEPENDANT,FOFANA ABDOUL KARIM,76,0.006500000000000001,False,indenie-djuablin,"abengourou, commune",fofana abdoul karim,independant
INDENIE-DJUABLIN,115,"ABENGOUROU, SOUS-PREFECTURE, AMELEKIA, ANIANSSUE, EBILASSOKRO, NIABLE, YAKASSE-FEYASSE ET ZARANOU, COMMUNES ET SOUS-PREFECTURES",166,51273,22283,0.4346,498,21785,104,0.0048,RHDP,"UNE CÔTE DIVOIRE EN PAIX, PROSPÈRE ET SOLIDAIRE",17921,0.8226,True,indenie-djuablin,"abengourou, sous-prefecture, amelekia, anianssue, ebilassokro, niable, yakasse-feyasse et zaranou, communes et sous-prefectures","une cote divoire en paix, prospere et solidaire",rhdp
INDENIE-DJUABLIN,115,"ABENGOUROU, SOUS-PREFECTURE, AMELEKIA, ANIANSSUE, EBILASSOKRO, NIABLE, YAKASSE-FEYASSE ET ZARANOU, COMMUNES ET SOUS-PREFECTURES",166,51273,22283,0.4346,498,21785,104,0.0048,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,3760,0.1726,False,indenie-djuablin,"abengourou, sous-prefecture, amelekia, anianssue, ebilassokro, niable, yakasse-feyasse et zaranou, communes et sous-prefectures",tous ensemble pour la cote d'ivoire,pdci-rda
INDENIE-DJUABLIN,116,"AGNIBILEKROU, COMMUNE ET SOUS-PREFECTURES",74,28087,11675,0.4157,423,11252,77,0.0068000000000000005,INDEPENDANT,KOUAME BELLEBA MYRIAM ASHELEY,51,0.0045000000000000005,False,indenie-djuablin,"agnibilekrou, commune et sous-prefectures",kouame belleba myriam asheley,independant
INDENIE-DJUABLIN,116,"AGNIBILEKROU, COMMUNE ET SOUS-PREFECTURES",74,28087,11675,0.4157,423,11252,77,0.0068000000000000005,INDEPENDANT,ASSEMIAN EPSE TAHI AKISSI MARIE-PAUL,32,0.0028000000000000004,False,indenie-djuablin,"agnibilekrou, commune et sous-prefectures",assemian epse tahi akissi marie-paul,independant
INDENIE-DJUABLIN,116,"AGNIBILEKROU, COMMUNE ET SOUS-PREFECTURES",74,28087,11675,0.4157,423,11252,77,0.0068000000000000005,RHDP,FOFANA SIANDOU,5744,0.5105,True,indenie-djuablin,"agnibilekrou, commune et sous-prefectures",fofana siandou,rhdp
INDENIE-DJUABLIN,116,"AGNIBILEKROU, COMMUNE ET SOUS-PREFECTURES",74,28087,11675,0.4157,423,11252,77,0.0068000000000000005,INDEPENDANT,BEUGRE KOFFI BOAFFE BRICE CYRILE,122,0.0108,False,indenie-djuablin,"agnibilekrou, commune et sous-prefectures",beugre koffi boaffe brice cyrile,independant
INDENIE-DJUABLIN,116,"AGNIBILEKROU, COMMUNE ET SOUS-PREFECTURES",74,28087,11675,0.4157,423,11252,77,0.0068000000000000005,PDCI-RDA,MANDODJA M'BIA ROGER,5226,0.4645,False,indenie-djuablin,"agnibilekrou, commune et sous-prefectures",mandodja m'bia roger,pdci-rda
INDENIE-DJUABLIN,117,"AKOBOISSUE ET DAME, DOUFFREBO ET TANGUELAN, COMMUNES ET SOUS-PREFECTURES",67,17960,8130,0.45270000000000005,470,7660,67,0.0087,INDEPENDANT,BARRY SOULEYMANE,54,0.006999999999999999,False,indenie-djuablin,"akoboissue et dame, douffrebo et tanguelan, communes et sous-prefectures",barry souleymane,independant
INDENIE-DJUABLIN,118,"BETTIE ET DIAMARAKRO, COMMUNES ET SOUS-PREFECTURES",47,14086,5069,0.3599,142,4927,30,0.0060999999999999995,INDEPENDANT,KONAN JEAN DE DIEU,1462,0.2967,False,indenie-djuablin,"bettie et diamarakro, communes et sous-prefectures",konan jean de dieu,independant
INDENIE-DJUABLIN,119,"GBONGAHA ET SEGUELON, COMMUNES ET SOUS-PREFECTURES",39,11815,8223,0.696,50,8173,104,0.0127,INDEPENDANT,FOFANA MAMADOU,2571,0.3146,False,indenie-djuablin,"gbongaha et seguelon, communes et sous-prefectures",fofana mamadou,independant
INDENIE-DJUABLIN,120,"FENGOLO, MADINANI ET N'GOLOBLASSO, COMMUNES ET SOUS-PREFECTURES",55,17672,11759,0.6654000000000001,138,11621,149,0.0128,RHDP,KONATE LADJI,7042,0.606,True,indenie-djuablin,"fengolo, madinani et n'goloblasso, communes et sous-prefectures",konate ladji,rhdp
INDENIE-DJUABLIN,120,"FENGOLO, MADINANI ET N'GOLOBLASSO, COMMUNES ET SOUS-PREFECTURES",55,17672,11759,0.6654000000000001,138,11621,149,0.0128,INDEPENDANT,FOFANA LASSANA,4430,0.3812,False,indenie-djuablin,"fengolo, madinani et n'goloblasso, communes et sous-prefectures",fofana lassana,independant
INDENIE-DJUABLIN,120,"FENGOLO, MADINANI ET N'GOLOBLASSO, COMMUNES ET SOUS-PREFECTURES",55,17672,11759,0.6654000000000001,138,11621,149,0.0128,INDEPENDANT,BAMBA MOUSSA,283,0.0215,False,indenie-djuablin,"fengolo, madinani et n'goloblasso, communes et sous-prefectures",bamba moussa,independant
KABADOUGOU,121,"BAKO, BOUGOUSSO ET DIOULATIEDOUGOU, COMMUNES ET SOUS-PREFECTURES",69,18754,13278,0.708,142,13136,158,0.012,INDEPENDANT,TRAORE DRISSA,521,0.0397,False,kabadougou,"bako, bougousso et dioulatiedougou, communes et sous-prefectures",traore drissa,independant
KABADOUGOU,121,"BAKO, BOUGOUSSO ET DIOULATIEDOUGOU, COMMUNES ET SOUS-PREFECTURES",69,18754,13278,0.708,142,13136,158,0.012,INDEPENDANT,TRAORE SOUALIHO,2018,0.1536,False,kabadougou,"bako, bougousso et dioulatiedougou, communes et sous-prefectures",traore soualiho,independant
KABADOUGOU,121,"BAKO, BOUGOUSSO ET DIOULATIEDOUGOU, COMMUNES ET SOUS-PREFECTURES",69,18754,13278,0.708,142,13136,158,0.012,INDEPENDANT,ISSOUF TRAORE,960,0.0731,False,kabadougou,"bako, bougousso et dioulatiedougou, communes et sous-prefectures",issouf traore,independant
